Fecha,Cliente,Comercial,Código,Artículo,Cantidad,Color
"2025-05-31,""Aluminis Borras Calaf, S.L."",FRANCES OROBITG,16349,""Suplemento Hoja Inf. M.Inf. Oculto E-150  And. Plata L=6,5m"",2,""7016Tx",,,,,,
"SG29""",,,,,,
"2025-05-31,""Aluminis Borras Calaf, S.L."",FRANCES OROBITG,16346,""Tapa Doble Marco Inf. Oculto E-150  Anod.Plata L=6,5m"",3,""7016Tx",,,,,,
"SG29""",,,,,,
"2025-05-31,""Aluminis Borras Calaf, S.L."",FRANCES OROBITG,16651,""Suplemento Hoja Piso Corrido E-150 Anod. Plata L=6,5m"",5,7022Tx SG44",,,,,,
"2025-05-31,""Aluminis Borras Calaf, S.L."",FRANCES OROBITG,16653,""Tapa Lateral Piso Corredo E-150 And. negro L=6,5m"",2,7022Tx SG44",,,,,,
"2025-05-31,""Metalmasa , S.L."",JORDI MARTINEZ,16346,""Tapa Doble Marco Inf. Oculto E-150  Anod.Plata L=6,5m"",2,""7016Tx",,,,,,
"SG29""",,,,,,
"2025-05-31,""Metalmasa , S.L."",JORDI MARTINEZ,16345,""Tapa Lateral Marco Inf. Oculto  E-150  And. Plata  L=6,5m"",1,7022Tx SG44",,,,,,
"2025-05-31,""Metalmasa , S.L."",JORDI MARTINEZ,16651,""Suplemento Hoja Piso Corrido E-150 Anod. Plata L=6,5m"",4,7022Tx SG45",,,,,,
"2025-05-31,""Metalmasa , S.L."",JORDI MARTINEZ,16342,""Tapa Canal  E-150  7022TXT L=6,5m"",5,PLATA S5A",,,,,,
"31/05/2025,""Aluminis Borras Calaf, S.L."",JORDI LOPEZ,16346,""Tapa Doble Marco Inf. Oculto E-150  Anod.Plata L=6,5m"",6,BlancoTx 9016Tx SB38",,,,,,
"31/05/2025,""Aluminis Borras Calaf, S.L."",JORDI LOPEZ,16344,""Tapa Central Marco Inf. Oculto  E-150 And. Plata L=6,5m"",6,Blanco Mate SBV",,,,,,
"31/05/2025,""Aluminis Borras Calaf, S.L."",JORDI LOPEZ,16349,""Suplemento Hoja Inf. M.Inf. Oculto E-150  And. Plata L=6,5m"",5,7016Tx SG29",,,,,,
"31/05/2025,""Aluminis Borras Calaf, S.L."",JORDI LOPEZ,16342,""Tapa Canal  E-150  7022TXT L=6,5m"",5,7016Tx SG29",,,,,,
"31/05/2025,""Aluminis Borras Calaf, S.L."",JORDI LOPEZ,16653,""Tapa Lateral Piso Corredo E-150 And. negro L=6,5m"",1,""7016Tx",,,,,,
"SG29""",,,,,,
